LLAVE|Longitud|Latitud
ANTIOQUIA-TARAZA|-75.401406|7.580121
ANTIOQUIA-TARSO|-75.823214|5.863296
ANTIOQUIA-TITIRIBI|-75.791549|6.060980
ANTIOQUIA-TOLEDO|-75.691442|7.010154
ANTIOQUIA-TURBO|-76.729158|8.089116
ANTIOQUIA-URAMITA|-76.173409|6.898494
ANTIOQUIA-URRAO|-76.133949|6.317320
ANTIOQUIA-VALDIVIA|-75.439198|7.165340
ANTIOQUIA-VALPARAISO|-75.624459|5.614551
ANTIOQUIA-VEGACHI|-74.798727|6.773446
ANTIOQUIA-VENECIA|-75.735503|5.964734
ANTIOQUIA-VIGIA DEL FUERTE|-76.896187|6.588120
ANTIOQUIA-YALI|-74.840047|6.676567
ANTIOQUIA-YARUMAL|-75.418833|6.963872
ANTIOQUIA-YOLOMBO|-75.013351|6.594592
ANTIOQUIA-YONDO|-73.912458|7.003941
ANTIOQUIA-ZARAGOZA|-74.867075|7.488583
ATLANTICO-BARRANQUILLA|-74.795259|10.975927
ATLANTICO-BARANOA|-74.916100|10.794880
ATLANTICO-CAMPO DE LA CRUZ|-74.883152|10.379240
ATLANTICO-CANDELARIA|-74.879913|10.461217
ATLANTICO-GALAPA|-74.866938|10.919641
ATLANTICO-JUAN DE ACOSTA|-75.040799|10.830182
ATLANTICO-LURUACO|-75.142246|10.611116
ATLANTICO-MALAMBO|-74.774241|10.856287
ATLANTICO-MANATI|-74.957035|10.448962
ATLANTICO-PALMAR DE VARELA|-74.754758|10.738583
ATLANTICO-PIOJO|-75.107470|10.749344
ATLANTICO-POLONUEVO|-74.854257|10.777725
ATLANTICO-PONEDERA|-74.753900|10.641796
ATLANTICO-PUERTO COLOMBIA|-74.851964|11.022940
ATLANTICO-REPELON|-75.125482|10.493342
ATLANTICO-SABANAGRANDE|-74.758507|10.791076
ATLANTICO-SABANALARGA|-74.921094|10.632835
ATLANTICO-SANTA LUCIA|-74.958971|10.323273
ATLANTICO-SANTO TOMAS|-74.754112|10.756056
ATLANTICO-SOLEDAD|-74.784833|10.910174
ATLANTICO-SUAN|-74.881687|10.335431
ATLANTICO-TUBARA|-74.978679|10.873648
ATLANTICO-USIACURI|-74.976983|10.742978
COLOMBIA-TODO EL PAIS|-74.107359|4.650173
BOGOTA DC-BOGOTA DC|-74.107359|4.650173
BOLIVAR-CARTAGENA|-75.496431|10.384986
BOLIVAR-ACHI|-74.557064|8.569110
BOLIVAR-ALTOS DEL ROSARIO|-74.165049|8.791606
BOLIVAR-ARENAL|-73.941116|8.458630
BOLIVAR-ARJONA|-75.344488|10.256632
BOLIVAR-ARROYOHONDO|-75.017193|10.242798
BOLIVAR-BARRANCO DE LOBA|-74.105224|8.947730
BOLIVAR-CALAMAR|-74.913629|10.251963
BOLIVAR-CANTAGALLO|-73.914650|7.378316
BOLIVAR-CICUCO|-74.645494|9.274746
BOLIVAR-CORDOBA|-74.827463|9.586908
BOLIVAR-CLEMENCIA|-75.328512|10.567542
BOLIVAR-EL CARMEN DE BOLIVAR|-75.121216|9.718580
BOLIVAR-EL GUAMO|-74.976114|10.030913
BOLIVAR-EL PEÑON|-73.949416|8.988219
BOLIVAR-HATILLO DE LOBA|-74.078365|8.955615
BOLIVAR-MAGANGUE|-74.770175|9.268564
BOLIVAR-MAHATES|-75.191337|10.233255
BOLIVAR-MARGARITA|-74.280822|9.155550
BOLIVAR-MARIA LA BAJA|-75.300759|9.982646
BOLIVAR-MONTECRISTO|-74.471704|8.297136
BOLIVAR-MOMPOS|-74.427866|9.243884
BOLIVAR-MORALES|-73.868140|8.276307
BOLIVAR-NOROSI|-74.038059|8.525981
BOLIVAR-PINILLOS|-74.462404|8.915452
BOLIVAR-REGIDOR|-73.821638|8.666258
BOLIVAR-RIO VIEJO|-73.839945|8.587628
BOLIVAR-SAN CRISTOBAL|-75.065534|10.392856
BOLIVAR-SAN ESTANISLAO DE KOSTKA|-75.153258|10.398476
BOLIVAR-SAN FERNANDO|-74.323867|9.214179
BOLIVAR-SAN JACINTO DEL CAUCA|-75.121089|9.830219
BOLIVAR-SAN JACINTO|-75.121089|9.830219
BOLIVAR-SAN JUAN NEPOMUCENO|-75.081353|9.953454
BOLIVAR-SAN MARTIN DE LOBA|-74.039012|8.937091
BOLIVAR-SAN PABLO|-73.924169|7.476721
BOLIVAR-SANTA CATALINA|-75.287764|10.605056
BOLIVAR-SANTA ROSA DEL SUR|-75.369832|10.444396
BOLIVAR-SANTA ROSA DE LIMA|-75.369832|10.444396
BOLIVAR-SIMITI|-73.947312|7.954176
BOLIVAR-SOPLAVIENTO|-75.136426|10.388457
BOLIVAR-TALAIGUA NUEVO|-74.567628|9.304889
BOLIVAR-TIQUISIO|-74.263547|8.557741
BOLIVAR-TURBACO|-75.424409|10.332769
BOLIVAR-TURBANA|-75.442502|10.274402
BOLIVAR-VILLANUEVA|-75.274754|10.444498
BOLIVAR-ZAMBRANO|-74.813840|9.746914
BOYACA-TUNJA|-73.355489|5.539953
BOYACA-ALMEIDA|-73.378933|4.970857
BOYACA-AQUITANIA|-72.883985|5.518604
BOYACA-ARCABUCO|-73.438185|5.755184
BOYACA-BELEN|-72.911620|5.989278
BOYACA-BERBEO|-73.127032|5.227287
BOYACA-BETEITIVA|-72.809031|5.909908
BOYACA-BOAVITA|-72.584959|6.330653
BOYACA-BRICEÑO|-73.923260|5.690879
BOYACA-BUENAVISTA|-73.942305|5.512431
BOYACA-BUSBANZA|-72.884162|5.831390
BOYACA-CALDAS|-73.865541|5.554575
BOYACA-CAMPOHERMOSO|-73.104168|5.031661
BOYACA-CERINZA|-72.948276|5.956028
BOYACA-CHINAVITA|-73.368476|5.167484
BOYACA-CHIQUINQUIRA|-73.818388|5.614128
BOYACA-CHISCAS|-72.501835|6.554050
BOYACA-CHITA|-72.471892|6.187083
BOYACA-CHITARAQUE|-73.447100|6.027425
BOYACA-CHIVATA|-73.282529|5.558949
BOYACA-CIENEGA|-73.296061|5.408702
BOYACA-COMBITA|-73.323956|5.634545
BOYACA-COPER|-74.045461|5.474983
BOYACA-CORRALES|-72.844795|5.828102
BOYACA-COVARACHIA|-72.738978|6.500177
BOYACA-CUBARA|-72.110688|7.000093
BOYACA-CUCAITA|-73.454338|5.544452
BOYACA-CUITIVA|-72.965923|5.580367
BOYACA-CHIQUIZA (SAN PEDRO DE IGUAQUE)|-73.449463|5.639834
BOYACA-CHIVOR|-73.366894|4.887782
BOYACA-DUITAMA|-73.030610|5.822986
BOYACA-EL COCUY|-72.444729|6.407716
BOYACA-EL ESPINO|-72.497007|6.483027
BOYACA-FIRAVITOBA|-72.993361|5.668922
BOYACA-FLORESTA|-72.918111|5.859519
BOYACA-GACHANTIVA|-73.549092|5.751891
BOYACA-GAMEZA|-72.805529|5.802338
BOYACA-GARAGOA|-73.364428|5.083243
BOYACA-GUACAMAYAS|-72.500812|6.459667
BOYACA-GUATEQUE|-73.471207|5.007321
BOYACA-GUAYATA|-73.489696|4.967123
BOYACA-GÜICAN|-72.411763|6.462864
BOYACA-IZA|-72.980176|5.611696
BOYACA-JENESANO|-73.363738|5.385813
BOYACA-JERICO|-72.570723|6.145920
BOYACA-LABRANZAGRANDE|-72.577770|5.562687
BOYACA-LA CAPILLA|-73.444347|5.095687
BOYACA-LA VICTORIA|-74.234393|5.523792
BOYACA-LA UVITA|-72.559985|6.316206
BOYACA-VILLA DE LEYVA|-73.524685|5.632662
BOYACA-MACANAL|-73.319642|4.972466
BOYACA-MARIPI|-74.004050|5.550091
BOYACA-MIRAFLORES|-73.145630|5.196515
BOYACA-MONGUA|-72.798090|5.754242
BOYACA-MONGUI|-72.849260|5.723404
BOYACA-MONIQUIRA|-73.573370|5.876335
BOYACA-MOTAVITA|-73.367841|5.577700
BOYACA-MUZO|-74.102751|5.532463
BOYACA-NOBSA|-72.939853|5.771043
BOYACA-NUEVO COLON|-73.457136|5.355146
BOYACA-OICATA|-73.308404|5.595234
BOYACA-OTANCHE|-74.180965|5.657536
BOYACA-PACHAVITA|-73.396953|5.140065
BOYACA-PAEZ|-73.054310|5.095235
BOYACA-PAIPA|-73.117917|5.779942
BOYACA-PAJARITO|-72.703210|5.293665
BOYACA-PANQUEBA|-72.459200|6.443075
BOYACA-PAUNA|-73.978449|5.656323
BOYACA-PAYA|-72.423775|5.625699
BOYACA-PAZ DE RIO|-72.749137|5.987645
BOYACA-PESCA|-73.050872|5.558808
BOYACA-PISBA|-72.485947|5.721615
BOYACA-BOYACA|-74.587999|5.977935
BOYACA-PUERTO BOYACA|-74.587999|5.977935
BOYACA-QUIPAMA|-74.177729|5.518370
BOYACA-RAMIRIQUI|-73.334869|5.400222
BOYACA-RAQUIRA|-73.632497|5.539066
BOYACA-RONDON|-73.208474|5.357400
