LLAVE|Longitud|Latitud
CUNDINAMARCA-MANTA|-73.540502|5.009058
CUNDINAMARCA-MEDINA|-73.349123|4.506615
CUNDINAMARCA-MOSQUERA|-74.231775|4.711371
CUNDINAMARCA-NARIÑO|-74.824732|4.399837
CUNDINAMARCA-NEMOCON|-73.879630|5.067365
CUNDINAMARCA-NILO|-74.619966|4.305801
CUNDINAMARCA-NIMAIMA|-74.386007|5.126026
CUNDINAMARCA-NOCAIMA|-74.377728|5.068933
CUNDINAMARCA-VENECIA|-74.478178|4.088961
CUNDINAMARCA-PACHO|-74.156117|5.136942
CUNDINAMARCA-PAIME|-74.152213|5.370487
CUNDINAMARCA-PANDI|-74.486641|4.190393
CUNDINAMARCA-PARATEBUENO|-73.212827|4.374833
CUNDINAMARCA-PASCA|-74.305460|4.309854
CUNDINAMARCA-PUERTO SALGAR|-74.652801|5.464956
CUNDINAMARCA-PULI|-74.714476|4.681785
CUNDINAMARCA-QUEBRADANEGRA|-74.480145|5.118071
CUNDINAMARCA-QUETAME|-73.863114|4.329826
CUNDINAMARCA-QUIPILE|-74.533705|4.744810
CUNDINAMARCA-APULO|-74.593805|4.520347
CUNDINAMARCA-RICAURTE|-74.784543|4.293950
CUNDINAMARCA-SAN ANTONIO DEL TEQUENDAMA|-74.351443|4.616138
CUNDINAMARCA-SAN BERNARDO|-74.422962|4.179432
CUNDINAMARCA-SAN CAYETANO|-74.024754|5.332938
CUNDINAMARCA-SAN FRANCISCO|-74.289672|4.972917
CUNDINAMARCA-SAN JUAN DE RIO SECO|-74.621915|4.847576
CUNDINAMARCA-SASAIMA|-74.432628|4.962167
CUNDINAMARCA-SESQUILE|-73.796128|5.044730
CUNDINAMARCA-SIBATE|-74.258992|4.489764
CUNDINAMARCA-SILVANIA|-74.405528|4.381941
CUNDINAMARCA-SIMIJACA|-73.850320|5.505428
CUNDINAMARCA-SOACHA|-74.214528|4.585492
CUNDINAMARCA-SOPO|-73.945775|4.906331
CUNDINAMARCA-SUBACHOQUE|-74.172708|4.929079
CUNDINAMARCA-SUESCA|-73.798290|5.103517
CUNDINAMARCA-SUPATA|-74.235403|5.061620
CUNDINAMARCA-SUSA|-73.814003|5.454868
CUNDINAMARCA-SUTATAUSA|-73.853159|5.247482
CUNDINAMARCA-TABIO|-74.096183|4.917202
CUNDINAMARCA-TAUSA|-73.886473|5.196555
CUNDINAMARCA-TENA|-74.389533|4.655339
CUNDINAMARCA-TENJO|-74.143956|4.871961
CUNDINAMARCA-TIBACUY|-74.452344|4.348315
CUNDINAMARCA-TIBIRITA|-73.504514|5.052278
CUNDINAMARCA-TOCAIMA|-74.636305|4.459271
CUNDINAMARCA-TOCANCIPA|-73.912091|4.964786
CUNDINAMARCA-TOPAIPI|-74.302688|5.335973
CUNDINAMARCA-UBALA|-73.533980|4.743901
CUNDINAMARCA-UBAQUE|-73.933461|4.483802
CUNDINAMARCA-VILLA DE SAN DIEGO DE UBATE|-73.814346|5.307541
CUNDINAMARCA-UNE|-74.025182|4.402450
CUNDINAMARCA-UTICA|-74.483120|5.190590
CUNDINAMARCA-VERGARA|-74.346360|5.117305
CUNDINAMARCA-VIANI|-74.561327|4.875205
CUNDINAMARCA-VILLAGOMEZ|-74.195145|5.273024
CUNDINAMARCA-VILLAPINZON|-73.595355|5.216438
CUNDINAMARCA-VILLETA|-74.469705|5.012791
CUNDINAMARCA-VIOTA|-74.523160|4.439356
CUNDINAMARCA-YACOPI|-74.338024|5.459290
CUNDINAMARCA-ZIPACON|-74.379591|4.759925
CUNDINAMARCA-ZIPAQUIRA|-73.994471|5.025472
CHOCO-QUIBDO|-76.625969|5.692195
CHOCO-ACANDI|-77.280098|8.511406
CHOCO-ALTO BAUDO|-76.974399|5.516310
CHOCO-MEDIO ATRATO|-76.635037|5.531374
CHOCO-BAGADO|-76.415293|5.410555
CHOCO-BAHIA SOLANO|-77.402750|6.222245
CHOCO-BAJO BAUDO/PIZARRO|-77.365410|4.954627
CHOCO-BOJAYA|-76.883469|6.556257
CHOCO-EL CANTON DEL SAN PABLO|-76.726850|5.335335
CHOCO-CARMEN DEL DARIEN|-76.970717|7.158403
CHOCO-CERTEGUI|-76.608021|5.370414
CHOCO-CONDOTO|-76.650683|5.091003
CHOCO-EL CARMEN DE ATRATO|-76.142230|5.899751
CHOCO-ATRATO|-76.142230|5.899751
CHOCO-EL LITORAL DEL SAN JUAN|-77.359838|4.256767
CHOCO-ISTMINA|-76.685180|5.153946
CHOCO-JURADO|-77.762751|7.103619
CHOCO-LLORO|-76.545211|5.498151
CHOCO-MEDIO BAUDO|-76.949606|5.193564
CHOCO-MEDIO SAN JUAN/ANDAGOYA|-76.693358|5.100241
CHOCO-NOVITA|-76.607118|4.956097
CHOCO-NUQUI|-77.262903|5.711957
CHOCO-RIO IRO|-76.472925|5.186300
CHOCO-RIO QUITO|-76.741017|5.483728
CHOCO-RIOSUCIO|-77.113110|7.436632
CHOCO-SAN JOSE DEL PALMAR|-76.232849|4.897593
CHOCO-SIPI|-76.644404|4.651204
CHOCO-TADO|-76.558766|5.264140
CHOCO-UNGUIA|-77.091753|8.042761
CHOCO-UNION PANAMERICANA|-76.628406|5.281096
HUILA-NEIVA|-75.277723|2.935604
HUILA-ACEVEDO|-75.888532|1.805263
HUILA-AGRADO|-75.771904|2.259729
HUILA-AIPE|-75.239031|3.223598
HUILA-ALGECIRAS|-75.315373|2.522448
HUILA-ALTAMIRA|-75.788363|2.063711
HUILA-BARAYA|-75.054270|3.153199
HUILA-CAMPOALEGRE|-75.325735|2.686827
HUILA-COLOMBIA|-74.802813|3.376977
HUILA-ELIAS|-75.938011|2.012697
HUILA-GARZON|-75.627694|2.196994
HUILA-GIGANTE|-75.541220|2.388236
HUILA-GUADALUPE|-75.755028|2.025157
HUILA-HOBO|-75.451151|2.582868
HUILA-IQUIRA|-75.634497|2.649359
HUILA-ISNOS|-76.217637|1.929467
HUILA-LA ARGENTINA|-75.979768|2.198246
HUILA-LA PLATA|-75.891451|2.389647
HUILA-NATAGA|-75.808785|2.545353
HUILA-OPORAPA|-75.995178|2.025054
HUILA-PAICOL|-75.772992|2.449549
HUILA-PALERMO|-75.433719|2.888406
HUILA-PALESTINA|-76.133122|1.723444
HUILA-EL PITAL|-75.804005|2.266679
HUILA-PITALITO|-76.048745|1.852578
HUILA-RIVERA|-75.258547|2.777571
HUILA-SALADOBLANCO|-76.044141|1.992495
HUILA-SAN AGUSTIN|-76.270360|1.881081
HUILA-SANTA MARIA|-75.586116|2.939755
HUILA-SUAZA|-75.795056|1.975846
HUILA-TARQUI|-75.823575|2.111321
HUILA-TESALIA|-75.729840|2.486050
HUILA-TELLO|-75.138773|3.067538
HUILA-TERUEL|-75.567034|2.740968
HUILA-TIMANA|-75.932087|1.974224
HUILA-VILLAVIEJA|-75.217244|3.220768
HUILA-YAGUARA|-75.518023|2.664694
LA GUAJIRA-RIOHACHA|-72.911489|11.528751
LA GUAJIRA-ALBANIA|-72.598522|11.157489
LA GUAJIRA-BARRANCAS|-72.793576|10.958667
LA GUAJIRA-DIBULLA|-73.307620|11.271569
LA GUAJIRA-DISTRACCION|-72.887393|10.898473
LA GUAJIRA-EL MOLINO|-72.926743|10.653503
LA GUAJIRA-FONSECA|-72.846662|10.884301
LA GUAJIRA-HATONUEVO|-72.759017|11.068743
LA GUAJIRA-LA JAGUA DEL PILAR|-73.071679|10.510214
LA GUAJIRA-MAICAO|-72.241905|11.378327
LA GUAJIRA-MANAURE|-72.439667|11.774057
LA GUAJIRA-SAN JUAN DEL CESAR|-73.000593|10.769579
LA GUAJIRA-URIBIA|-72.264761|11.714646
LA GUAJIRA-URUMITA|-73.012507|10.560169
LA GUAJIRA-VILLANUEVA|-72.977623|10.608812
MAGDALENA-SANTA MARTA|-74.190894|11.229434
MAGDALENA-ALGARROBO|-74.061132|10.188039
MAGDALENA-ARACATACA|-74.186763|10.589800
MAGDALENA-ARIGUANI/EL DIFICIL|-74.236499|9.847057
MAGDALENA-CERRO SAN ANTONIO|-74.868473|10.325659
MAGDALENA-CHIBOLO|-74.623138|10.026841
MAGDALENA-CIENAGA|-74.241286|11.006657
MAGDALENA-CONCORDIA|-74.833030|10.257311
MAGDALENA-EL BANCO|-73.974281|9.008733
MAGDALENA-EL PIÑON|-74.823291|10.403095
MAGDALENA-EL RETEN|-74.268456|10.610668
MAGDALENA-FUNDACION|-74.191343|10.514092
MAGDALENA-GUAMAL|-74.223699|9.144386
MAGDALENA-NUEVA GRANADA|-74.392236|9.801548
MAGDALENA-PEDRAZA|-74.915458|10.188206
MAGDALENA-PIJIÑO DEL CARMEN|-74.458218|9.331953
MAGDALENA-PIVIJAY|-74.613518|10.460693
MAGDALENA-PLATO|-74.784683|9.796770
MAGDALENA-PUEBLOVIEJO|-74.282484|10.994830
MAGDALENA-REMOLINO|-74.716140|10.702170
MAGDALENA-SABANAS DE SAN ANGEL|-74.213939|10.032536
MAGDALENA-SALAMINA|-74.794189|10.491229
MAGDALENA-SAN SEBASTIAN DE BUENAVISTA|-74.351675|9.240505
MAGDALENA-SAN ZENON|-74.498992|9.245061
MAGDALENA-SANTA ANA|-74.567658|9.321838
MAGDALENA-SANTA BARBARA DE PINTO|-74.704686|9.432257
MAGDALENA-SITIONUEVO|-74.720169|10.775410
MAGDALENA-TENERIFE|-74.860775|9.897787
MAGDALENA-ZAPAYAN|-74.716878|10.168297
MAGDALENA-ZONA BANANERA|-74.140082|10.763027
META-VILLAVICENCIO|-73.627092|4.123861
META-ACACIAS|-73.765937|3.990121
META-BARRANCA DE UPIA|-72.964334|4.570623
META-CABUYARO|-72.791979|4.285924
META-CASTILLA LA NUEVA|-73.688130|3.828040
META-CUBARRAL|-73.839213|3.794089
META-CUMARAL|-73.486109|4.269538
META-EL CALVARIO|-73.713329|4.352622
META-EL CASTILLO|-73.794013|3.563834
META-EL DORADO|-73.835012|3.740004
META-FUENTE DE ORO|-73.617982|3.462868
META-GRANADA|-73.705715|3.546695
META-GUAMAL|-73.770339|3.880639
META-MAPIRIPAN|-72.135645|2.896439
META-MESETAS|-74.043681|3.383925
META-LA MACARENA|-73.787069|2.178214
META-URIBE|-74.351545|3.239653
META-LEJANIAS|-74.024022|3.525920
META-PUERTO CONCORDIA|-72.760048|2.623082
META-PUERTO GAITAN|-72.083079|4.314487
META-PUERTO LOPEZ|-72.957436|4.093406
META-PUERTO LLERAS|-73.373743|3.269732
META-PUERTO RICO|-73.206513|2.939744
META-RESTREPO|-73.564604|4.260732
META-SAN CARLOS DE GUAROA|-73.241409|3.710537
META-SAN JUAN DE ARAMA|-73.875832|3.373728
META-SAN JUANITO|-73.676699|4.458180
META-SAN MARTIN|-73.695618|3.701880
META-VISTAHERMOSA|-73.751167|3.125752
NARIÑO-PASTO|-77.278576|1.212124
NARIÑO-ALBAN|-77.080712|1.474978
NARIÑO-ALDANA|-77.700357|0.882181
NARIÑO-ANCUYA|-77.514513|1.263300
NARIÑO-ARBOLEDA|-77.135399|1.503537
NARIÑO-BARBACOAS|-78.139895|1.670345
NARIÑO-BELEN|-77.015666|1.595676
NARIÑO-BUESACO|-77.156480|1.381434
NARIÑO-COLON|-77.019777|1.643874
NARIÑO-CONSACA|-77.465102|1.207623
NARIÑO-CONTADERO|-77.549409|0.910458
NARIÑO-CORDOBA|-77.517897|0.854564
NARIÑO-CUASPUD/CARLOSAMA|-77.728947|0.862978
NARIÑO-CUMBAL|-77.792277|0.906185
NARIÑO-CUMBITARA|-77.578147|1.646846
NARIÑO-CHACHAGÜI|-77.281701|1.360328
NARIÑO-EL CHARCO|-78.109849|2.477551
NARIÑO-EL PEÑOL|-77.437859|1.452893
NARIÑO-EL ROSARIO|-77.334566|1.742476
NARIÑO-EL TABLON DE GOMEZ|-77.096731|1.427054
NARIÑO-EL TAMBO|-77.390205|1.407643
NARIÑO-FUNES|-77.448979|1.001135
NARIÑO-GUACHUCAL|-77.731590|0.959743
NARIÑO-GUAITARILLA|-77.549689|1.129633
NARIÑO-GUALMATAN|-77.566815|0.919803
NARIÑO-ILES|-77.520976|0.969205
NARIÑO-IMUES|-77.496178|1.055138
NARIÑO-IPIALES|-77.646401|0.827734
NARIÑO-LA CRUZ|-76.970532|1.601339
NARIÑO-LA FLORIDA|-77.406431|1.299192
NARIÑO-LA LLANADA|-77.580712|1.472636
NARIÑO-LA TOLA|-78.190392|2.398212
NARIÑO-LA UNION|-77.131154|1.600269
NARIÑO-LEIVA|-77.306214|1.934516
NARIÑO-LINARES|-77.521940|1.351145
NARIÑO-LOS ANDES|-77.521326|1.494547
NARIÑO-MAGÜI|-78.181061|1.765314
NARIÑO-MALLAMA|-77.864428|1.140839
NARIÑO-MOSQUERA|-78.452985|2.507116
NARIÑO-NARIÑO|-77.357972|1.288979
NARIÑO-OLAYA HERRERA|-78.325619|2.347584
NARIÑO-OSPINA|-77.566067|1.058492
NARIÑO-FRANCISCO PIZARRO|-78.658182|2.040809
NARIÑO-POLICARPA|-77.459265|1.628139
NARIÑO-POTOSI|-77.572792|0.806340
NARIÑO-PROVIDENCIA|-77.596592|1.237692
NARIÑO-PUERRES|-77.504211|0.885125
NARIÑO-PUPIALES|-77.633504|0.867140
NARIÑO-RICAURTE|-77.995445|1.212931
NARIÑO-ROBERTO PAYAN/SAN JOSE|-78.245663|1.697745
NARIÑO-SAMANIEGO|-77.594457|1.335352
NARIÑO-SANDONA|-77.469568|1.286137
NARIÑO-SAN BERNARDO|-77.047403|1.514254
NARIÑO-SAN LORENZO|-77.215232|1.503341
NARIÑO-SAN PABLO|-77.013924|1.669427
NARIÑO-SAN PEDRO DE CARTAGO|-77.119197|1.551659
NARIÑO-SANTA BARBARA|-77.979083|2.449548
NARIÑO-SANTACRUZ|-77.677022|1.221986
NARIÑO-SAPUYES|-77.620300|1.037528
NARIÑO-TAMINANGO|-77.280222|1.570048
NARIÑO-TANGUA|-77.392694|1.094881
NARIÑO-SAN ANDRES DE TUMACO|-78.763854|1.807117
NARIÑO-TUQUERRES|-77.616886|1.085193
NARIÑO-YACUANQUER|-77.402824|1.114556
NORTE DE SANTANDER-SAN JOSE DE CUCUTA|-72.508256|7.905306
NORTE DE SANTANDER-ABREGO|-73.221734|8.081784
NORTE DE SANTANDER-ARBOLEDAS|-72.798875|7.642970
NORTE DE SANTANDER-BOCHALEMA|-72.647038|7.612168
NORTE DE SANTANDER-BUCARASICA|-72.867954|8.041167
NORTE DE SANTANDER-CACOTA|-72.642059|7.268705
NORTE DE SANTANDER-CACHIRA|-73.048746|7.740905
NORTE DE SANTANDER-CHINACOTA|-72.604678|7.600958
NORTE DE SANTANDER-CHITAGA|-72.665435|7.138122
NORTE DE SANTANDER-CONVENCION|-73.337208|8.470369
NORTE DE SANTANDER-CUCUTILLA|-72.772572|7.538987
NORTE DE SANTANDER-DURANIA|-72.658605|7.714780
NORTE DE SANTANDER-EL CARMEN|-73.446687|8.510579
NORTE DE SANTANDER-EL TARRA|-73.094846|8.576771
NORTE DE SANTANDER-EL ZULIA|-72.604668|7.938229
NORTE DE SANTANDER-GRAMALOTE|-72.786830|7.916582
NORTE DE SANTANDER-HACARI|-73.145975|8.321715
NORTE DE SANTANDER-HERRAN|-72.483519|7.506541
NORTE DE SANTANDER-LABATECA|-72.495874|7.298339
NORTE DE SANTANDER-LA ESPERANZA|-73.327897|7.639991
NORTE DE SANTANDER-LA PLAYA DE BELEN|-73.238649|8.212627
NORTE DE SANTANDER-LOS PATIOS|-72.505713|7.833256
NORTE DE SANTANDER-LOURDES|-72.832511|7.944520
NORTE DE SANTANDER-MUTISCUA|-72.747139|7.300280
NORTE DE SANTANDER-OCAÑA|-73.355814|8.247454
NORTE DE SANTANDER-PAMPLONA|-72.647681|7.372850
NORTE DE SANTANDER-PAMPLONITA|-72.639204|7.436747
NORTE DE SANTANDER-PUERTO SANTANDER|-72.410314|8.360946
NORTE DE SANTANDER-RAGONVALIA|-72.476708|7.577861
NORTE DE SANTANDER-SALAZAR DE LAS PALMAS|-72.813124|7.773671
NORTE DE SANTANDER-SAN CALIXTO|-73.206053|8.400152
NORTE DE SANTANDER-SAN CAYETANO|-72.625412|7.875533
NORTE DE SANTANDER-SANTIAGO|-72.716618|7.865163
NORTE DE SANTANDER-SARDINATA|-72.800758|8.082014
NORTE DE SANTANDER-SANTODOMIGO DE SILOS|-72.757062|7.204787
NORTE DE SANTANDER-TEORAMA|-73.287409|8.436377
NORTE DE SANTANDER-TIBU|-72.735919|8.639549
NORTE DE SANTANDER-TOLEDO|-72.485107|7.310032
NORTE DE SANTANDER-VILLA CARO|-72.973652|7.914278
NORTE DE SANTANDER-VILLA DEL ROSARIO|-72.470067|7.847487
QUINDIO-ARMENIA|-75.680751|4.535990
QUINDIO-BUENAVISTA|-75.739330|4.360325
QUINDIO-CALARCA|-75.649088|4.515282
QUINDIO-CIRCASIA|-75.636528|4.617792
QUINDIO-CORDOBA|-75.687866|4.392485
QUINDIO-FILANDIA|-75.658686|4.674146
QUINDIO-GENOVA|-75.789817|4.207478
QUINDIO-LA TEBAIDA|-75.786460|4.453650
QUINDIO-MONTENEGRO|-75.751812|4.562960
QUINDIO-PIJAO|-75.703317|4.335038
QUINDIO-QUIMBAYA|-75.765074|4.624386
QUINDIO-SALENTO|-75.570844|4.637157
RISARALDA-PEREIRA|-75.717123|4.805680
RISARALDA-APIA|-75.941931|5.105739
RISARALDA-BALBOA|-75.960222|4.945769
RISARALDA-BELEN DE UMBRIA|-75.868219|5.200645
RISARALDA-DOSQUEBRADAS|-75.682469|4.827188
RISARALDA-GUATICA|-75.799363|5.316210
RISARALDA-LA CELIA|-76.003076|5.002847
RISARALDA-LA VIRGINIA|-75.884058|4.898667
RISARALDA-MARSELLA|-75.738583|4.935560
RISARALDA-MISTRATO|-75.882860|5.297059
RISARALDA-PUEBLO RICO|-76.030668|5.221912
RISARALDA-QUINCHIA|-75.730413|5.340446
RISARALDA-SANTA ROSA DE CABAL|-75.620011|4.867526
RISARALDA-SANTUARIO|-75.962116|5.072781
SANTANDER-BUCARAMANGA|-73.132598|7.116267
SANTANDER-AGUADA|-73.523237|6.162238
SANTANDER-ALBANIA|-73.913854|5.758870
SANTANDER-ARATOCA|-73.017850|6.694440
SANTANDER-BARBOSA|-73.615999|5.932610
SANTANDER-BARICHARA|-73.223099|6.634229
SANTANDER-BARRANCABERMEJA|-73.849957|7.064964
SANTANDER-BETULIA|-73.283669|6.899525
SANTANDER-BOLIVAR|-73.771346|5.988953
SANTANDER-CABRERA|-73.246503|6.592261
SANTANDER-CALIFORNIA|-72.946358|7.347885
SANTANDER-CAPITANEJO|-72.699200|6.533180
SANTANDER-CARCASI|-72.627083|6.628732
SANTANDER-CEPITA|-72.973536|6.753518
SANTANDER-CERRITO|-72.692345|6.844244
SANTANDER-CHARALA|-73.146870|6.284349
SANTANDER-CHARTA|-72.968798|7.280820
SANTANDER-CHIMA|-73.373748|6.344352
SANTANDER-CHIPATA|-73.637111|6.062521
SANTANDER-CIMITARRA|-73.952582|6.320682
SANTANDER-CONCEPCION|-72.694594|6.768837
SANTANDER-CONFINES|-73.240554|6.357327
SANTANDER-CONTRATACION|-73.474426|6.290561
SANTANDER-COROMORO|-73.040817|6.294995
SANTANDER-CURITI|-73.069391|6.605107
SANTANDER-EL CARMEN DE CHUCURI|-73.511268|6.697911
SANTANDER-EL GUACAMAYO|-73.496893|6.245119
SANTANDER-EL PEÑON|-73.816911|6.054277
SANTANDER-EL PLAYON|-73.202878|7.470720
SANTANDER-ENCINO|-73.098738|6.137402
SANTANDER-ENCISO|-72.699647|6.668034
SANTANDER-FLORIAN|-73.971423|5.804666
SANTANDER-FLORIDABLANCA|-73.099033|7.072360
SANTANDER-GALAN|-73.287765|6.638415
SANTANDER-GAMBITA|-73.344184|5.945981
SANTANDER-GIRON|-73.168256|7.072775
SANTANDER-GUACA|-72.856322|6.876563
SANTANDER-GUADALUPE|-73.419292|6.245847
SANTANDER-GUAPOTA|-73.320699|6.308588
SANTANDER-GUAVATA|-73.700802|5.954136
SANTANDER-GÜEPSA|-73.575326|6.024849
SANTANDER-HATO|-73.308145|6.542964
SANTANDER-JESUS MARIA|-73.783328|5.876543
SANTANDER-JORDAN|-73.096053|6.732727
SANTANDER-LA BELLEZA|-73.965626|5.859550
SANTANDER-LANDAZURI|-73.811085|6.218749
SANTANDER-LA PAZ|-73.589590|6.178509
SANTANDER-LEBRIJA|-73.219551|7.113356
SANTANDER-LOS SANTOS|-73.102657|6.755175
SANTANDER-MACARAVITA|-72.593105|6.506580
SANTANDER-MALAGA|-72.732380|6.703058
SANTANDER-MATANZA|-73.015566|7.323175
SANTANDER-MOGOTES|-72.969814|6.475210
SANTANDER-MOLAGAVITA|-72.809472|6.674357
SANTANDER-OCAMONTE|-73.122563|6.339988
SANTANDER-OIBA|-73.299786|6.265175
SANTANDER-ONZAGA|-72.816760|6.344094
SANTANDER-PALMAR|-73.291090|6.537789
SANTANDER-PARAMO|-73.170400|6.416592
SANTANDER-PIEDECUESTA|-73.054661|6.997476
SANTANDER-PINCHOTE|-73.172914|6.532060
SANTANDER-PUENTE NACIONAL|-73.678134|5.877963
SANTANDER-PUERTO PARRA|-74.056094|6.650807
SANTANDER-PUERTO WILCHES|-73.899334|7.349066
SANTANDER-RIONEGRO|-73.150147|7.265010
SANTANDER-SABANA DE TORRES|-73.499050|7.391912
SANTANDER-SAN ANDRES|-72.848804|6.812310
SANTANDER-SAN BENITO|-73.509387|6.126245
SANTANDER-SAN GIL|-73.136881|6.555609
SANTANDER-SAN JOAQUIN|-72.867638|6.427548
SANTANDER-SAN JOSE DE MIRANDA|-72.733616|6.658995
SANTANDER-SAN MIGUEL|-72.644155|6.575625
SANTANDER-SAN VICENTE DE CHUCURI|-73.411024|6.880383
SANTANDER-SANTA BARBARA|-72.907336|6.990511
SANTANDER-SANTA HELENA DEL OPON|-73.616793|6.339645
SANTANDER-SIMACOTA|-73.337368|6.443471
SANTANDER-PALMAS DEL SOCORRO|-73.261196|6.463856
SANTANDER-SOCORRO|-73.261196|6.463856
SANTANDER-SUAITA|-73.438416|6.103542
SANTANDER-SUCRE|-73.790975|5.918743
SANTANDER-SURATA|-72.984232|7.366580
SANTANDER-TONA|-72.966018|7.202735
SANTANDER-VALLE DE SAN JOSE|-73.143737|6.447790
SANTANDER-VELEZ|-73.666299|6.010953
SANTANDER-VETAS|-72.871041|7.309810
SANTANDER-VILLANUEVA|-73.174307|6.670078
SANTANDER-ZAPATOCA|-73.267910|6.814339
SUCRE-SINCELEJO|-75.395484|9.302333
SUCRE-BUENAVISTA|-74.973015|9.319857
SUCRE-CAIMITO|-75.117141|8.789324
SUCRE-COLOSO|-75.353257|9.494193
SUCRE-COROZAL|-75.293167|9.319106
SUCRE-COVEÑAS|-75.691867|9.402463
SUCRE-CHALAN|-75.312696|9.545352
SUCRE-EL ROBLE|-75.198831|9.099532
SUCRE-GALERAS|-75.049420|9.159673
SUCRE-GUARANDA|-74.538345|8.464847
SUCRE-LA UNION|-75.276056|8.853975
SUCRE-LOS PALMITOS|-75.268749|9.380228
SUCRE-MAJAGUAL|-74.628101|8.540713
SUCRE-MORROA|-75.306200|9.331319
SUCRE-OVEJAS|-75.229084|9.526687
SUCRE-PALMITO|-75.541259|9.333108
SUCRE-SAMPUES|-75.380191|9.183206
SUCRE-SAN BENITO ABAD|-75.031161|8.929971
SUCRE-SAN JUAN DE BETULIA|-75.243565|9.273066
SUCRE-SAN MARCOS|-75.132398|8.664829
SUCRE-SAN ONOFRE|-75.523031|9.736932
SUCRE-SAN PEDRO|-75.063490|9.395964
SUCRE-SINCE|-75.146033|9.244196
SUCRE-SUCRE|-74.723225|8.811741
SUCRE-SANTIAGO DE TOLU|-75.581299|9.525473
SUCRE-TOLUVIEJO|-75.440822|9.451845
TOLIMA-IBAGUE|-75.193715|4.439609
TOLIMA-ALPUJARRA|-74.932864|3.391731
TOLIMA-ALVARADO|-74.953557|4.567344
TOLIMA-AMBALEMA|-74.764441|4.782634
TOLIMA-ANZOATEGUI|-75.096451|4.627474
TOLIMA-GUAYABAL|-74.884413|5.030678
TOLIMA-ARMERO|-74.884413|5.030678
TOLIMA-ATACO|-75.382534|3.590636
TOLIMA-CAJAMARCA|-75.435485|4.436673
TOLIMA-CARMEN DE APICALA|-74.716169|4.147912
TOLIMA-CASABIANCA|-75.120966|5.078465
TOLIMA-CHAPARRAL|-75.480743|3.723068
TOLIMA-COELLO|-74.898464|4.287276
TOLIMA-COYAIMA|-75.193878|3.798028
TOLIMA-CUNDAY|-74.692227|4.059259
TOLIMA-DOLORES|-74.896845|3.539036
TOLIMA-EL ESPINAL|-74.885450|4.151314
TOLIMA-FALAN|-74.953007|5.123104
TOLIMA-FLANDES|-74.818767|4.276372
TOLIMA-FRESNO|-75.035627|5.153638
TOLIMA-EL GUAMO|-74.968127|4.031004
TOLIMA-HERVEO|-75.177151|5.080228
TOLIMA-HONDA|-74.741578|5.201509
TOLIMA-ICONONZO|-74.531976|4.176436
TOLIMA-LERIDA|-74.910634|4.862025
TOLIMA-EL LIBANO|-75.063421|4.923442
TOLIMA-SAN SEBASTIAN DE MARIQUITA|-74.889295|5.199691
TOLIMA-MELGAR|-74.629850|4.208155
TOLIMA-MURILLO|-75.170787|4.875071
TOLIMA-NATAGAIMA|-75.093478|3.624859
TOLIMA-ORTEGA|-75.222601|3.934916
TOLIMA-PALOCABILDO|-75.022198|5.120972
TOLIMA-PIEDRAS|-74.878074|4.543908
TOLIMA-PLANADAS|-75.643961|3.197661
TOLIMA-PRADO|-74.927456|3.751013
TOLIMA-PURIFICACION|-74.928646|3.859380
TOLIMA-RIOBLANCO|-75.644388|3.529863
TOLIMA-RONCESVALLES|-75.606002|4.011598
TOLIMA-ROVIRA|-75.240868|4.238933
TOLIMA-SALDAÑA|-75.016069|3.926793
TOLIMA-SAN ANTONIO|-75.480907|3.912976
TOLIMA-SAN LUIS|-75.095787|4.133721
TOLIMA-SANTA ISABEL|-75.097934|4.713606
TOLIMA-SUAREZ|-74.831883|4.048884
TOLIMA-VALLE DE SAN JUAN|-75.115669|4.197494
TOLIMA-VENADILLO|-74.929171|4.717967
TOLIMA-VILLAHERMOSA|-75.117729|5.030452
TOLIMA-VILLARRICA|-74.600296|3.936745
VALLE DEL CAUCA-CALI|-76.521565|3.414414
VALLE DEL CAUCA-ALCALA|-75.779814|4.674990
VALLE DEL CAUCA-ANDALUCIA|-76.167921|4.171724
VALLE DEL CAUCA-ANSERMANUEVO|-75.991981|4.794923
VALLE DEL CAUCA-ARGELIA|-76.119906|4.726946
VALLE DEL CAUCA-BOLIVAR|-76.183574|4.337842
VALLE DEL CAUCA-BUENAVENTURA|-77.011740|3.875802
VALLE DEL CAUCA-GUADALAJARA DE BUGA|-76.298961|3.900824
VALLE DEL CAUCA-BUGALAGRANDE|-76.156808|4.208332
VALLE DEL CAUCA-CAICEDONIA|-75.830318|4.334610
VALLE DEL CAUCA-CALIMA|-76.484392|3.933524
VALLE DEL CAUCA-CANDELARIA|-76.346429|3.407766
VALLE DEL CAUCA-CARTAGO|-75.942264|4.758755
VALLE DEL CAUCA-DAGUA|-76.688871|3.657308
VALLE DEL CAUCA-EL AGUILA|-76.041299|4.909613
VALLE DEL CAUCA-EL CAIRO|-76.221604|4.760883
VALLE DEL CAUCA-EL CERRITO|-76.311726|3.684259
VALLE DEL CAUCA-EL DOVIO|-76.237084|4.510453
VALLE DEL CAUCA-FLORIDA|-76.234502|3.323918
VALLE DEL CAUCA-GINEBRA|-76.268068|3.724181
VALLE DEL CAUCA-GUACARI|-76.331367|3.762909
VALLE DEL CAUCA-JAMUNDI|-76.542459|3.262276
VALLE DEL CAUCA-LA CUMBRE|-76.567932|3.649447
